fixture_id,date,home_id,away_id,sites
2026-09-09|twente|vs|sc-telstar,2026-09-09,twente,sc-telstar,forebet
2026-08-14|sc-telstar|vs|sparta-rotterdam,2026-08-14,sc-telstar,sparta-rotterdam,forebet
2026-08-15|willem-ii-tilburg|vs|nijmegen,2026-08-15,willem-ii-tilburg,nijmegen,forebet
2026-08-15|utrecht|vs|az-alkmaar,2026-08-15,utrecht,az-alkmaar,forebet
2026-08-15|excelsior|vs|psv-eindhoven,2026-08-15,excelsior,psv-eindhoven,forebet
2026-08-15|fortuna-sittard|vs|cambuur,2026-08-15,fortuna-sittard,cambuur,forebet
2026-08-14|sporting-cp|vs|vit-ria,2026-08-14,sporting-cp,vit-ria,forebet
2026-08-15|fc-alverca|vs|estrela-amadora,2026-08-15,fc-alverca,estrela-amadora,forebet
2026-08-15|acad-mico-viseu|vs|santa-clara,2026-08-15,acad-mico-viseu,santa-clara,forebet
2026-08-15|rio-ave|vs|porto,2026-08-15,rio-ave,porto,forebet
2026-08-07|gd-estoril|vs|fc-famalic-o,2026-08-07,gd-estoril,fc-famalic-o,forebet
2026-08-08|mar-timo|vs|casa-pia-ac,2026-08-08,mar-timo,casa-pia-ac,forebet
2026-08-08|vit-ria|vs|fc-arouca,2026-08-08,vit-ria,fc-arouca,forebet
2026-08-08|estrela-amadora|vs|sporting-cp,2026-08-08,estrela-amadora,sporting-cp,forebet
2026-08-09|porto|vs|fc-alverca,2026-08-09,porto,fc-alverca,forebet
2026-08-09|sl-benfica|vs|acad-mico-viseu,2026-08-09,sl-benfica,acad-mico-viseu,forebet
2026-08-09|moreirense-fc|vs|sporting-braga,2026-08-09,moreirense-fc,sporting-braga,forebet
2026-08-09|gil-vicente|vs|rio-ave,2026-08-09,gil-vicente,rio-ave,forebet
2026-08-10|santa-clara|vs|nacional-madeira,2026-08-10,santa-clara,nacional-madeira,forebet
2026-08-23|moreirense-fc|vs|sl-benfica,2026-08-23,moreirense-fc,sl-benfica,forebet
2026-08-23|estrela-amadora|vs|sporting-braga,2026-08-23,estrela-amadora,sporting-braga,forebet
2026-09-18|bayern-m-nchen|vs|union-berlin,2026-09-18,bayern-m-nchen,union-berlin,eaglepredict
2026-08-28|bayern-m-nchen|vs|stuttgart,2026-08-28,bayern-m-nchen,stuttgart,eaglepredict
2026-09-05|schalke-04|vs|bayern-m-nchen,2026-09-05,schalke-04,bayern-m-nchen,eaglepredict
2026-09-08|nijmegen|vs|excelsior,2026-09-08,nijmegen,excelsior,eaglepredict
2026-09-12|racing-santander|vs|deportivo-alav-s,2026-09-12,racing-santander,deportivo-alav-s,eaglepredict
2026-09-13|elversberg|vs|bayern-m-nchen,2026-09-13,elversberg,bayern-m-nchen,eaglepredict
2026-09-19|vfb-stuttgart|vs|borussia-dortmund,2026-09-19,vfb-stuttgart,borussia-dortmund,whoscored
2026-09-04|vfb-stuttgart|vs|fc-koln,2026-09-04,vfb-stuttgart,fc-koln,whoscored
2026-09-12|hoffenheim|vs|vfb-stuttgart,2026-09-12,hoffenheim,vfb-stuttgart,whoscored
2026-09-19|b-monchengladbach|vs|mainz-05,2026-09-19,b-monchengladbach,mainz-05,flashscore
2026-08-28|groningen|vs|sittard,2026-08-28,groningen,sittard,flashscore
2026-09-05|b-monchengladbach|vs|elversberg,2026-09-05,b-monchengladbach,elversberg,flashscore
2026-09-06|alaves|vs|osasuna,2026-09-06,alaves,osasuna,flashscore
2026-09-12|freiburg|vs|b-monchengladbach,2026-09-12,freiburg,b-monchengladbach,flashscore
2026-09-19|willem-ii|vs|fortuna-sittard,2026-09-19,willem-ii,fortuna-sittard,sportsgambler
2026-09-19|gil-vicente|vs|maritimo,2026-09-19,gil-vicente,maritimo,sportsgambler
2026-09-06|alav-s|vs|osasuna,2026-09-06,alav-s,osasuna,sportsgambler
2026-09-05|willem-ii|vs|excelsior,2026-09-05,willem-ii,excelsior,sportsgambler
2026-09-05|maritimo|vs|sl-benfica,2026-09-05,maritimo,sl-benfica,sportsgambler
2026-09-06|gil-vicente|vs|academico-viseu,2026-09-06,gil-vicente,academico-viseu,sportsgambler
2026-09-12|racing-santander|vs|alav-s,2026-09-12,racing-santander,alav-s,sportsgambler
2026-09-12|academico-viseu|vs|vit-ria,2026-09-12,academico-viseu,vit-ria,sportsgambler
