site,team_name,canonical_id
flashscore,Manchester Utd,manchester-united
flashscore,Marseille,marseille
flashscore,Monaco,monaco
flashscore,Monza,monza
flashscore,Napoli,napoli
flashscore,Newcastle,newcastle
flashscore,Nice,nice
flashscore,Nottingham,nottingham-forest
flashscore,Osasuna,osasuna
flashscore,PSG,psg
flashscore,Paris FC,paris-fc
flashscore,Parma,parma
flashscore,Racing Santander,racing-santander
flashscore,Real Madrid,real-madrid
flashscore,Real Sociedad,real-sociedad
flashscore,Rennes,rennes
flashscore,Sassuolo,sassuolo
flashscore,Strasbourg,strasbourg
flashscore,Sunderland,sunderland
flashscore,Torino,torino
flashscore,Tottenham,tottenham
flashscore,Toulouse,toulouse
flashscore,Troyes,troyes
flashscore,Udinese,udinese
flashscore,Valencia,valencia
flashscore,Venezia,venezia
flashscore,Villarreal,villarreal
forebet,ADO Den Haag,ado-den-haag
forebet,AZ Alkmaar,az-alkmaar
forebet,Académico Viseu,acad-mico-viseu
forebet,Ajax,ajax
forebet,Arsenal,arsenal
forebet,Aston Villa,aston-villa
forebet,Atalanta,atalanta
forebet,Athletic Bilbao,athletic-bilbao
forebet,Atlético Madrid,atl-tico-madrid
forebet,Augsburg,augsburg
forebet,Barcelona,barcelona
forebet,Bayer Leverkusen,bayer-leverkusen
forebet,Bayern Munich,bayern-munich
forebet,Bologna,bologna
forebet,Borussia Dortmund,borussia-dortmund
forebet,Borussia M'gladbach,borussia-m-gladbach
forebet,Bournemouth,bournemouth
forebet,Brentford,brentford
forebet,Brighton,brighton
forebet,Cagliari,cagliari
forebet,Calcio Como,calcio-como
forebet,Cambuur,cambuur
forebet,Casa Pia AC,casa-pia-ac
forebet,Celta Vigo,celta-vigo
forebet,Chelsea,chelsea
forebet,Coventry City,coventry
forebet,Crystal Palace,crystal-palace
forebet,Deportivo Alavés,deportivo-alav-s
forebet,Deportivo La Coruña,deportivo-la-coru-a
forebet,Eintracht Frankfurt,eintracht-frankfurt
forebet,Elche,elche
forebet,Espanyol,espanyol
forebet,Estrela Amadora,estrela-amadora
forebet,Everton,everton
forebet,Excelsior,excelsior
forebet,FC Alverca,fc-alverca
forebet,FC Arouca,fc-arouca
forebet,FC Famalicão,fc-famalic-o
forebet,Feyenoord,feyenoord
forebet,Fiorentina,fiorentina
forebet,Fortuna Sittard,fortuna-sittard
forebet,Freiburg,freiburg
forebet,Frosinone,frosinone
forebet,Fulham,fulham
forebet,GD Estoril,gd-estoril
forebet,Genoa,genoa
forebet,Getafe,getafe
forebet,Gil Vicente,gil-vicente
forebet,Go Ahead Eagles,go-ahead-eagles
forebet,Groningen,groningen
forebet,Hamburger SV,hamburger-sv
forebet,Heerenveen,heerenveen
forebet,Hoffenheim,hoffenheim
forebet,Hull City,hull
forebet,Inter,inter
forebet,Ipswich Town,ipswich
forebet,Juventus,juventus
forebet,Köln,k-ln
forebet,Lazio,lazio
forebet,Lecce,lecce
forebet,Leeds United,leeds-united
forebet,Levante,levante
forebet,Liverpool,liverpool
forebet,Mainz,mainz
forebet,Manchester City,manchester-city
forebet,Manchester United,manchester-united
forebet,Marítimo,mar-timo
forebet,Milan,milan
forebet,Monza,monza
forebet,Moreirense FC,moreirense-fc
forebet,Málaga CF,m-laga-cf
forebet,Nacional Madeira,nacional-madeira
forebet,Napoli,napoli
forebet,Newcastle United,newcastle-united
forebet,Nijmegen,nijmegen
forebet,Nottingham Forest,nottingham-forest
forebet,Osasuna,osasuna
forebet,PEC Zwolle,pec-zwolle
forebet,PSV Eindhoven,psv-eindhoven
forebet,Paderborn,paderborn
forebet,Parma,parma
forebet,Porto,porto
forebet,RB Leipzig,rb-leipzig
forebet,Racing Santander,racing-santander
forebet,Rayo Vallecano,rayo-vallecano
forebet,Real Betis,real-betis
forebet,Real Madrid,real-madrid
forebet,Real Sociedad,real-sociedad
forebet,Rio Ave,rio-ave
forebet,Roma,roma
forebet,SC Telstar,sc-telstar
forebet,SL Benfica,sl-benfica
forebet,SV Elversberg,sv-elversberg
forebet,Santa Clara,santa-clara
forebet,Sassuolo,sassuolo
forebet,Schalke 04,schalke-04
forebet,Sevilla,sevilla
forebet,Sparta Rotterdam,sparta-rotterdam
forebet,Sporting Braga,sporting-braga
forebet,Sporting CP,sporting-cp
forebet,Stuttgart,stuttgart
forebet,Sunderland,sunderland
forebet,Torino,torino
forebet,Tottenham,tottenham
forebet,Twente,twente
forebet,Udinese,udinese
forebet,Union Berlin,union-berlin
forebet,Utrecht,utrecht
forebet,Valencia,valencia
forebet,Venezia,venezia
forebet,Villarreal,villarreal
forebet,Vitória,vit-ria
forebet,Werder Bremen,werder-bremen
forebet,Willem II Tilburg,willem-ii-tilburg
forebet,Wolfsburg,wolfsburg
sportsgambler,AC Milan,ac-milan
sportsgambler,AZ Alkmaar,az-alkmaar
sportsgambler,Alverca,fc-alverca
sportsgambler,Angers,angers
sportsgambler,Arouca,fc-arouca
sportsgambler,Aston Villa,aston-villa
sportsgambler,Atalanta,atalanta
sportsgambler,Athletic Club,athletic-club
sportsgambler,Atlético Madrid,atl-tico-madrid
sportsgambler,Auxerre,auxerre
sportsgambler,Barcelona,barcelona
sportsgambler,Bournemouth,bournemouth
sportsgambler,Brentford,brentford
sportsgambler,Brighton,brighton
sportsgambler,Cagliari,cagliari
sportsgambler,Celta Vigo,celta-vigo
sportsgambler,Como,como
sportsgambler,Crystal Palace,crystal-palace
sportsgambler,Elche,elche
sportsgambler,Espanyol,espanyol
sportsgambler,Estoril,gd-estoril
sportsgambler,Everton,everton
sportsgambler,FC Groningen,groningen
sportsgambler,FC Utrecht,utrecht
sportsgambler,Famalicão,fc-famalic-o
sportsgambler,Fortuna Sittard,fortuna-sittard
sportsgambler,Frosinone,frosinone
sportsgambler,Genoa,genoa
sportsgambler,Getafe,getafe
sportsgambler,Heerenveen,heerenveen
sportsgambler,Hull,hull
sportsgambler,Inter Milan,inter
sportsgambler,Ipswich,ipswich
sportsgambler,Juventus,juventus
sportsgambler,Le Havre,le-havre
sportsgambler,Lecce,lecce
sportsgambler,Leeds,leeds-united
sportsgambler,Lens,lens
sportsgambler,Lille,lille
sportsgambler,Liverpool,liverpool
sportsgambler,Lorient,lorient
sportsgambler,Lyon,lyon
sportsgambler,Manchester City,manchester-city
sportsgambler,Manchester United,manchester-united
sportsgambler,Monaco,monaco
sportsgambler,Monza,monza
sportsgambler,Nacional,nacional-madeira
sportsgambler,Napoli,napoli
sportsgambler,Newcastle,newcastle
sportsgambler,Nice,nice
sportsgambler,Nottingham Forest,nottingham-forest
sportsgambler,PEC Zwolle,pec-zwolle
sportsgambler,PSG,psg
sportsgambler,PSV Eindhoven,psv-eindhoven
sportsgambler,Parma,parma
sportsgambler,Porto,porto
sportsgambler,Racing Club,racing-santander
sportsgambler,Real Madrid,real-madrid
sportsgambler,Rennes,rennes
sportsgambler,Rio Ave,rio-ave
sportsgambler,Santa Clara,santa-clara
sportsgambler,Sassuolo,sassuolo
sportsgambler,Sevilla,sevilla
sportsgambler,Sparta Rotterdam,sparta-rotterdam
sportsgambler,Sporting,sporting-cp
sportsgambler,Sunderland,sunderland
sportsgambler,Torino,torino
sportsgambler,Tottenham,tottenham
sportsgambler,Toulouse,toulouse
sportsgambler,Udinese,udinese
sportsgambler,Valencia,valencia
sportsgambler,Venezia,venezia
sportsgambler,Villarreal,villarreal
sportsgambler,Vitória,vit-ria
whoscored,AC Milan,ac-milan
whoscored,ADO Den Haag,ado-den-haag
whoscored,AZ Alkmaar,az-alkmaar
whoscored,Academico Viseu,acad-mico-viseu
whoscored,Ajax,ajax
whoscored,Alverca,fc-alverca
whoscored,Angers,angers
whoscored,Arouca,fc-arouca
whoscored,Arsenal,arsenal
whoscored,Atalanta,atalanta
whoscored,Athletic Club,athletic-club
whoscored,Atletico Madrid,atl-tico-madrid
whoscored,Auxerre,auxerre
whoscored,Benfica,sl-benfica
whoscored,Bologna,bologna
whoscored,Braga,sporting-braga
whoscored,Brentford,brentford
whoscored,Brest,brest
whoscored,Cagliari,cagliari
whoscored,Cambuur,cambuur
whoscored,Casa Pia AC,casa-pia-ac
whoscored,Celta Vigo,celta-vigo
whoscored,Como,como
whoscored,Coventry,coventry
whoscored,Crystal Palace,crystal-palace
whoscored,Deportivo Alaves,deportivo-alav-s
whoscored,Deportivo de A Coruna,deportivo-la-coru-a
whoscored,Elche,elche
whoscored,Espanyol,espanyol
whoscored,Estoril,gd-estoril
whoscored,Estrela da Amadora,estrela-amadora
whoscored,Everton,everton
whoscored,FC Groningen,groningen
whoscored,FC Porto,porto
whoscored,FC Utrecht,utrecht
whoscored,Famalicao,fc-famalic-o
whoscored,Feyenoord,feyenoord
whoscored,Fiorentina,fiorentina
whoscored,Fortuna Sittard,fortuna-sittard
whoscored,Frosinone,frosinone
whoscored,Genoa,genoa
whoscored,Gil Vicente,gil-vicente
whoscored,Go Ahead Eagles,go-ahead-eagles
whoscored,Hull,hull
whoscored,Inter,inter
whoscored,Ipswich,ipswich
whoscored,Juventus,juventus
whoscored,Lazio,lazio
whoscored,Le Havre,le-havre
whoscored,Le Mans,le-mans
whoscored,Lecce,lecce
whoscored,Leeds,leeds-united
whoscored,Lens,lens
whoscored,Levante,levante
whoscored,Lille,lille
whoscored,Lorient,lorient
whoscored,Lyon,lyon
whoscored,Malaga,m-laga-cf
whoscored,Manchester United,manchester-united
whoscored,Maritimo,mar-timo
whoscored,Marseille,marseille
whoscored,Monaco,monaco
whoscored,Monza,monza
whoscored,Moreirense,moreirense-fc
whoscored,NEC Nijmegen,nijmegen
whoscored,Nacional,nacional-madeira
whoscored,Napoli,napoli
whoscored,Nice,nice
whoscored,Nottingham,nottingham-forest
whoscored,Nottingham Forest,nottingham-forest
whoscored,PEC Zwolle,pec-zwolle
whoscored,PSV Eindhoven,psv-eindhoven
whoscored,Paris FC,paris-fc
whoscored,Paris Saint-Germain,paris-saint-germain
whoscored,Parma Calcio 1913,parma-calcio-1913
whoscored,Racing Santander,racing-santander
whoscored,Rayo Vallecano,rayo-vallecano
whoscored,Real Betis,real-betis
whoscored,Real Madrid,real-madrid
whoscored,Real Sociedad,real-sociedad
whoscored,Rennes,rennes
whoscored,Rio Ave,rio-ave
whoscored,Roma,roma
whoscored,SC Heerenveen,heerenveen
whoscored,Santa Clara,santa-clara
whoscored,Sassuolo,sassuolo
whoscored,Sevilla,sevilla
whoscored,Sparta Rotterdam,sparta-rotterdam
whoscored,Sporting CP,sporting-cp
whoscored,Strasbourg,strasbourg
whoscored,Sunderland,sunderland
whoscored,Telstar,sc-telstar
whoscored,Torino,torino
whoscored,Tottenham,tottenham
whoscored,Toulouse,toulouse
whoscored,Troyes,troyes
whoscored,Twente,twente
whoscored,Udinese,udinese
whoscored,Valencia,valencia
whoscored,Venezia,venezia
whoscored,Villarreal,villarreal
whoscored,Vitoria de Guimaraes,vit-ria
whoscored,Willem II,willem-ii-tilburg
